Sr. No.,Date,Versus,Ground,Coordinates,D/N,How Dismissed,Runs,B/F,S/R,Aggr,Avg,S/R
1,23/12/2004,Bangladesh,MA Aziz Stadium,#NAME?,No,run out,0,1,0,0,0,0
2,26/12/2004,Bangladesh,Bangabandhu National Stadium,"23.7282° N, 90.4133° E",Yes,c Habibul Bashar b Mashrafe Mortaza,12,11,109.09,12,6,100
3,27/12/2004,Bangladesh,Bangabandhu National Stadium,"23.7282° N, 90.4133° E",Yes,not out,7,2,350,19,9.5,135.71
4,02/04/2005,Pakistan,Nehru Stadium (Kochi),"9.9973° N, 76.3007° E",No,c Naved-ul-Hasan b Arshad Khan,3,7,42.86,22,7.33,104.76
5,05/04/2005,Pakistan,Dr YS Rajasekhara Reddy Cricket Stadium,"17.7977° N, 83.3523° E",No,c Shoaib Malik b Mohammad Hafeez,148,123,120.33,170,42.5,118.06
6,09/04/2005,Pakistan,Keenan Stadium,"22.8058° N, 86.1914° E",No,c †Kamran Akmal b Naved-ul-Hasan,28,24,116.67,198,39.6,117.86
7,12/04/2005,Pakistan,Sardar Patel Stadium,"23.0918° N, 72.5975° E",No,c †Kamran Akmal b Shoaib Malik,47,64,73.44,245,40.83,105.6
8,15/04/2005,Pakistan,Green Park,"26.4813° N, 80.3473° E",No,c Younis Khan b Naved-ul-Hasan,11,16,68.75,256,36.57,103.23
9,17/04/2005,Pakistan,Arun Jaitley Stadium,"28.6379° N, 77.2432° E",No,c Shahid Afridi b Arshad Khan,24,38,63.16,280,35,97.9
10,30/07/2005,Sri Lanka,Rangiri Dambulla International Stadium,"7.8595° N, 80.6340° E",Yes,b L H D Dilhara,2,7,28.57,282,31.33,96.25
11,31/07/2005,West Indies,Rangiri Dambulla International Stadium,"7.8595° N, 80.6340° E",Yes,not out,15,11,136.36,297,33,97.7
12,03/08/2005,Sri Lanka,Rangiri Dambulla International Stadium,"7.8595° N, 80.6340° E",Yes,c & b T M Dilshan,20,27,74.07,317,31.7,95.77
13,07/08/2005,West Indies,R Premadasa Stadium,"6.9394° N, 79.8720° E",Yes,not out,28,13,215.38,345,34.5,100.29
